GISJOIN,STATE,STATEFP,STATENH,B18AA115,B18AA115M,B18AA125,B18AA125M,B18AA135,B18AA135M,B18AA145,B18AA145M,B18AA155,B18AA155M,B18AA165,B18AA165M,B18AA175,B18AA175M,B18AA185,B18AA185M,B18AA195,B18AA195M,B18AA205,B18AA205M,B18AA215,B18AA215M,B18AA225,B18AA225M,B18AA235,B18AA235M,B18AA245,B18AA245M,B18AB115,B18AB115M,B18AB125,B18AB125M,B18AB135,B18AB135M,B18AB145,B18AB145M,B18AB155,B18AB155M,B18AB165,B18AB165M,B18AB175,B18AB175M,B18AB185,B18AB185M,B18AB195,B18AB195M,B18AB205,B18AB205M,B18AB215,B18AB215M,B18AB225,B18AB225M,B18AB235,B18AB235M,B18AB245,B18AB245M,B18AC115,B18AC115M,B18AC125,B18AC125M,B18AC135,B18AC135M,B18AC145,B18AC145M,B18AC155,B18AC155M,B18AC165,B18AC165M,B18AC175,B18AC175M,B18AC185,B18AC185M,B18AC195,B18AC195M,B18AC205,B18AC205M,B18AC215,B18AC215M,B18AC225,B18AC225M,B18AC235,B18AC235M,B18AC245,B18AC245M,B18AD115,B18AD115M,B18AD125,B18AD125M,B18AD135,B18AD135M,B18AD145,B18AD145M,B18AD155,B18AD155M,B18AD165,B18AD165M,B18AD175,B18AD175M,B18AD185,B18AD185M,B18AD195,B18AD195M,B18AD205,B18AD205M,B18AD215,B18AD215M,B18AD225,B18AD225M,B18AD235,B18AD235M,B18AD245,B18AD245M,B18AE115,B18AE115M,B18AE125,B18AE125M,B18AE135,B18AE135M,B18AE145,B18AE145M,B18AE155,B18AE155M,B18AE165,B18AE165M,B18AE175,B18AE175M,B18AE185,B18AE185M,B18AE195,B18AE195M,B18AE205,B18AE205M,B18AE215,B18AE215M,B18AE225,B18AE225M,B18AE235,B18AE235M,B18AE245,B18AE245M
"G380","North Dakota","38","380",602373,637,608799,532,618098,581,628770,574,640208,790,649730,1014,654024,859,655268,1118,655136,1108,651470,1387,656584,1366,656425,1620,653820,1521,651072,1536,7231,388,8286,499,9273,564,10781,650,11872,673,14761,623,17365,618,20445,779,21985,709,23959,769,24349,813,25233,836,25209,786,26784,964,35544,598,36160,743,36659,652,36989,719,38286,711,38369,742,39507,773,39462,725,40006,923,39165,828,39103,990,36284,789,34916,936,34610,899,10670,657,11181,555,12225,657,13549,728,15142,820,15323,979,17138,996,18720,1102,19978,1252,21858,1267,23509,1283,24638,1386,24460,1438,25852,1335,10965,736,11827,835,13526,913,14836,956,16132,1114,17979,1148,17441,1027,18306,1197,19612,1194,23942,1565,29799,1837,34294,1937,40956,2059,46523,2030
"G390","Ohio","39","390",9592249,3826,9577732,3384,9569431,3966,9549343,3234,9538328,3446,9519506,3645,9503779,3426,9489832,3876,9476047,4087,9394878,4978,9374538,4889,9281702,5406,9167192,6438,9073101,5849,1395378,4111,1403238,3782,1402897,3551,1407493,4556,1412045,3799,1421943,4339,1428230,3833,1438271,4428,1446193,4080,1442655,5444,1452530,5029,1449450,6587,1446466,5075,1440414,6145,21194,1158,21447,1050,20709,1113,21077,1118,21646,1207,21459,1186,21872,1200,23563,1225,22816,1552,20442,1215,18416,1290,17094,1191,17151,1347,18679,1441,287473,3704,288855,3543,297549,4065,308441,3808,316746,4115,325856,3705,343103,3867,363124,4474,374915,4137,402151,4991,422047,5260,444800,5160,478863,5885,514797,7255,229242,4595,242289,4757,259004,3949,274026,4644,287212,4870,298177,4802,312772,5097,327089,5261,335426,5211,415149,7311,502392,7690,581637,8923,670374,8547,763302,8428
"G400","Oklahoma","40","400",2743563,3750,2766297,3791,2783609,3397,2799122,3701,2813794,3249,2823497,3414,2828569,3417,2837772,3865,2844070,3529,2809793,3891,2752553,4429,2716667,4336,2668453,5069,2626609,4320,270192,2076,270993,2182,273421,1656,277007,2125,278571,2141,281295,1951,283821,1838,287959,1848,286356,2410,287856,2171,284536,3081,284453,2356,282536,2868,280193,2765,258295,3190,261060,2996,266509,2555,274099,2781,279276,2647,286231,2499,289871,2936,294676,2742,299621,2590,303791,2912,303792,2773,298628,3170,295365,3114,292504,3046,164501,3044,163014,3773,168227,3121,172513,3352,178156,2898,184802,3227,191899,3275,194620,3624,198208,3862,203065,4318,213868,3904,223460,3704,237863,4937,254699,4769,277969,4280,287641,4060,293976,3462,296110,4070,299936,3637,299764,3483,302091,4155,303110,4246,304615,4018,344837,4211,393387,5271,447289,5027,511043,5600,574629,7056
"G410","Oregon","41","410",3245856,5169,3272707,4644,3297149,5543,3317668,5443,3352941,5739,3387825,5055,3416776,5193,3445933,4552,3480920,5357,3449081,6242,3394838,6460,3328095,6793,3247656,6689,3172586,5457,68155,1463,69377,1668,70328,1630,70700,1405,72837,1727,74012,1487,76347,1495,77789,1631,78679,1602,79117,1834,77913,2229,79593,2067,81642,1908,82453,2216,57114,2521,52637,2002,47411,1842,47155,1626,46258,1878,45233,1957,45332,2217,46961,2043,48060,1868,45683,1833,46075,1939,46880,1937,46276,2412,47867,2120,295856,5504,301868,5264,307979,5967,311006,5469,304404,5773,299656,5615,302508,4835,317600,4894,323792,5177,344493,6260,362739,5724,385525,6069,404460,6446,428381,6204,135010,2468,140039,3259,145854,3082,153814,3040,162793,3886,175541,3884,184164,3860,193660,3900,198352,3751,257972,4915,325612,6068,389281,5715,458680,7473,523006,7525
"G420","Pennsylvania","42","420",10473096,5796,10475818,4860,10467433,6103,10449680,6568,10430142,6669,10402743,4678,10378174,6319,10341442,5470,10300602,6231,10155004,8675,10153752,8231,10010379,9523,9844085,9063,9696255,9255,1358759,4065,1372144,4759,1385799,4529,1395718,4383,1403143,4887,1410563,4935,1417611,4450,1423319,5104,1430664,5337,1419582,6251,1425210,6541,1407814,7119,1393616,7004,1386475,6265,18065,1065,19247,1062,20258,1087,22951,1180,23641,1483,24947,1419,24995,1659,24847,1794,24691,1504,20798,1304,20511,1599,20570,2081,23921,2730,25577,2923,595304,6424,599783,6112,614317,6615,630622,6353,649944,6737,659956,5963,672405,5630,690693,5890,715699,7247,766476,8442,815976,8408,882870,9363,930183,9776,986063,9492,215515,3943,232597,4727,243574,5062,259758,4649,272689,5643,285768,4625,297320,4823,310880,5951,319874,6796,433025,8330,555201,8166,667575,9984,794713,10343,924269,10732
"G440","Rhode Island","44","440",863294,2454,859686,2564,855594,2848,856605,2919,854859,2731,854026,2962,854801,2955,854502,2988,850597,3035,835608,3528,841181,3750,816308,3655,792361,3485,775483,2945,62682,1704,64711,1990,66569,2004,66827,1879,68243,1838,68886,1921,68346,1790,69254,1803,71561,1725,69196,1958,69398,2426,67615,2153,63862,2754,61142,2371,4606,605,4784,582,4616,733,4951,523,5106,594,5130,600,5413,613,5484,802,5277,802,4344,745,4437,732,4072,889,4855,1140,5430,1070,98349,2247,96504,2415,97369,2965,95524,2842,95671,3273,96391,3018,96282,3279,94662,3079,94575,2881,96329,3308,104965,4181,114311,3650,117071,3733,125872,4251,25028,1653,26786,1897,27547,1504,29345,1850,29782,1640,30058,1670,31296,2108,32709,1977,35221,2239,52321,3027,71968,3382,91944,4123,117222,4005,133874,5282
"G450","South Carolina","45","450",3075318,2767,3108466,3314,3144146,3614,3176381,3612,3210708,3608,3252252,3412,3292598,3288,3332986,3149,3372011,4260,3386329,4807,3334961,4521,3342861,4772,3339447,4951,3353230,4379,1281627,2261,1290704,3071,1298534,2460,1305347,2652,1315058,2868,1322368,2459,1332110,3053,1339360,3139,1344139,2889,1346560,3631,1328691,3861,1326209,4885,1318630,3967,1314322,4235,14939,889,15122,870,14732,946,15137,854,14966,948,15417,865,14992,962,16686,993,17645,1311,16951,1138,15595,1311,15617,1540,16823,1626,20586,1970,131900,3064,134637,3543,137355,3834,139509,3660,142894,3593,144486,3448,149337,3343,156685,3709,171081,4621,189966,5194,197882,4659,211825,4987,236163,4683,245368,5406,72080,2591,81422,2982,84835,2845,90899,3167,93950,3250,100082,3406,104407,3047,110208,3416,115930,3563,151711,4469,201774,5717,246238,7014,301711,5788,362719,6622
"G460","South Dakota","46","460",697042,839,701466,883,706667,939,712496,853,716691,1087,721410,916,724430,1020,730062,1118,733719,1035,735228,1110,728526,1314,731624,1533,733035,1478,732146,1467,9347,614,10331,514,11531,561,12642,568,13133,645,14078,644,14698,654,16241,749,17531,806,18836,799,19300,842,19525,828,20149,926,20474,995,69154,879,71532,1075,71766,946,72016,1122,72619,1161,74187,1157,74062,1016,75331,1181,76190,1023,74975,1131,73296,1400,70948,1105,69514,1146,68370,1539,14703,949,15233,913,16037,871,16861,729,18424,1011,19144,1029,18761,1031,19566,970,20361,968,20277,1099,22144,1167,23815,1348,25707,1556,27504,1640,17451,1094,17309,1116,19197,1162,20693,1143,22323,1108,22239,1293,23493,1229,23089,1583,22837,1342,30020,1693,38519,1887,44430,2032,50789,1734,58934,2227
"G470","Tennessee","47","470",4949985,4041,4982977,3748,5007014,4426,5029109,4328,5059894,4299,5096733,3369,5131786,4392,5166231,4033,5205132,4583,5196680,4158,5198206,5221,5182736,5717,5133249,6128,5117326,6069,1048714,2600,1060494,2551,1073534,2741,1082001,2385,1091070,3037,1100577,2625,1107392,2628,1117489,3465,1124473,3575,1128806,2966,1130608,3627,1126815,4094,1108897,4537,1099222,4600,15285,1101,15991,1185,16604,1453,17656,1313,17802,1408,18757,1416,17568,884,17848,1114,18189,1047,17178,1217,15219,1267,14118,1380,17288,1817,19393,2172,182919,4043,183837,3954,191992,4433,199937,4456,202089,4373,198732,3283,203134,4024,207387,3909,214026,4546,230616,4660,253871,4680,273252,4187,308942,6110,334461,5730,101088,3036,109927,2910,113243,3353,122662,3351,128760,3562,133210,3440,137501,3568,142134,4315,147536,3695,198988,4232,261593,5383,326851,6605,417706,7121,495981,7938
"G480","Texas","48","480",18093212,22645,18670767,19231,19075100,20745,19499105,19508,19874610,19131,20174403,17563,20459525,21474,20720689,22200,20903375,19556,19805623,23326,18566027,26849,17293460,31713,15984990,29223,14645129,30981,2917108,5180,2972834,5850,3030970,5978,3094227,5424,3152917,5810,3221133,5524,3286950,7080,3365783,6566,3428211,7560,3464424,9271,3499862,9929,3552579,10470,3626137,10322,3692993,9641,125101,4045,127794,3599,129219,3759,127236,3685,126493,4078,128145,4082,130360,4061,136061,4902,141425,4735,137921,4538,147892,4782,169576,6411,190706,6721,223484,7661,3114684,19414,2883159,17204,2813758,17658,2751163,18301,2731532,17006,2759354,14769,2840776,18650,2932163,20305,3026434,19657,3229390,21886,3496715,21932,3819944,25473,4152447,25596,4535295,28338,524082,9965,554343,10075,590326,11413,620302,9850,653062,10302,673400,10221,702001,12223,730499,12865,761411,14387,1998084,22167,3152085,24923,4407783,31111,5686063,31119,7091523,37411
"G490","Utah","49","490",2426175,3171,2465277,3617,2487467,4158,2515352,4022,2544735,4907,2572595,4550,2600077,4245,2632056,4656,2676482,5224,2682881,5136,2704561,4858,2705194,5332,2688129,6322,2671349,5346,29056,1170,29912,1198,31101,1278,31163,1351,31909,981,32512,1184,33619,1123,35862,1234,36849,1335,38059,1367,38545,1331,37712,1541,37772,1487,39489,1606,30842,1158,30823,1093,31696,1182,31999,1159,31824,1250,31686,1316,32079,1177,32657,1333,33721,1497,33222,1541,33242,1506,32948,1484,33869,1859,34235,1606,168969,3083,176889,3886,197090,4535,209134,4153,220156,5142,233824,4728,244883,4596,254896,4862,255760,5495,263426,5657,272664,5711,283230,6021,296104,6504,318534,5662,60337,2535,63332,2624,66319,2483,70463,2336,74755,2608,77810,2711,83283,2622,89879,2754,94036,3137,133651,4644,182358,5119,224725,5532,275313,6955,328724,6964
"G500","Vermont","50","500",596736,491,596251,425,595862,436,595385,345,594443,412,592965,337,590499,386,589546,414,587883,447,584360,581,596282,654,594131,752,589835,973,586712,1032,5464,369,5804,326,6139,335,6435,325,6949,379,7404,344,7921,334,8058,414,8502,393,7964,481,8166,489,8000,526,7887,503,7316,527,1802,271,1855,262,1841,272,2008,287,2018,234,1984,273,2072,311,2106,297,2132,286,1873,299,1520,266,1336,228,1273,201,1065,206,9815,553,9957,573,9811,580,10338,502,11025,480,11727,502,12083,562,13189,550,13196,749,13008,860,14047,846,14540,812,15233,801,16618,765,11141,606,11631,587,12251,628,12192,453,12169,587,12169,606,12061,589,12078,686,12600,745,17135,985,21622,1147,25809,1158,31026,1237,35395,1284
"G510","Virginia","51","510",5526985,6695,5575445,6533,5627076,5673,5668363,6990,5695147,5990,5712958,5302,5720209,6499,5722660,6402,5717617,6871,5643436,6666,5574307,6853,5473610,7967,5344175,8334,5240029,6918,1545568,3885,1561042,4367,1568021,4276,1577943,3956,1589345,3850,1596352,4766,1605447,4024,1613285,5365,1621592,4393,1620649,5144,1631941,5030,1630355,5432,1623031,5984,1616256,6145,25665,1918,25205,1709,24816,1745,23421,1583,22570,1347,21948,1243,22499,1303,22972,1339,23873,1521,22553,1235,24007,1684,23728,1752,27216,2138,30986,2571,629803,6756,633301,7047,642874,6162,660283,6781,681401,5976,699344,5864,725853,6739,745644,7332,771106,7473,816934,7437,848884,8838,900520,8318,950829,8892,994288,9276,198171,5956,219962,5636,237866,5569,255121,5604,268167,5593,279699,6294,291944,5308,309213,6030,320275,5841,405786,7686,503340,8236,596298,8425,712248,10132,823611,10216
"G530","Washington","53","530",5256224,6736,5304864,6601,5350938,6455,5392302,5858,5434177,7113,5470566,8083,5500837,7360,5545997,7711,5581128,7160,5523881,7350,5465011,9069,5374874,8095,5251386,8671,5141304,8179,233549,2585,238255,2866,245041,2482,250484,3337,253224,3115,256990,2976,261743,3295,269854,3222,281683,3569,290245,4198,293401,3917,301477,3801,306214,3831,311435,4343,94243,2178,93416,2283,94194,2486,95117,2093,93266,2189,94026,2583,94754,1927,95048,2502,94449,2701,91766,2482,90789,2717,91698,3290,90212,2913,91528,2664,775914,8103,790863,7771,804935,7959,822257,7272,844092,7562,873861,8565,917900,8358,966642,8094,1013461,8265,1074597,9051,1112569,9740,1161221,10155,1212584,9416,1275109,11657,292915,4655,311316,5592,324471,4647,338963,5562,360705,5741,377703,6288,394733,5291,416795,5515,433386,6496,531976,8866,655594,8153,759279,9353,880588,9444,996740,11795
"G540","West Virginia","54","540",1736461,888,1737369,1071,1737996,913,1735816,982,1732235,1074,1725411,962,1714591,1295,1704345,1292,1691600,1460,1672255,1658,1658405,1684,1639342,1939,1622009,2350,1605228,2179,58296,1232,58260,1243,58489,1114,59129,1281,61367,1269,63305,1338,65300,1310,66728,1188,66990,1372,64285,1431,61143,1416,61227,1452,58519,1546,56175,1417,3052,434,2934,435,2955,462,3075,511,2953,418,3281,382,3322,506,3668,480,3667,569,3146,543,1911,340,1730,274,1532,290,1744,292,16480,800,17218,800,18211,965,18940,996,18676,958,20369,1022,21830,1212,22174,1209,22913,1307,23980,1424,24127,1399,23763,1266,26002,1216,28407,1535,32083,1292,34700,1384,35968,1390,36921,1583,36189,1235,33726,1308,31800,1471,32139,1259,32135,1388,43760,2272,55463,1968,66905,2263,76400,2552,86819,2384
"G550","Wisconsin","55","550",4941085,3525,4961852,3429,4966900,3840,4965198,4181,4967124,3205,4961193,3806,4950577,3537,4945966,3694,4946961,3696,4895065,5304,4894019,5646,4854979,4716,4791680,5212,4737919,4949,352620,1811,353470,2124,355873,2115,357758,1998,360792,1996,361730,1940,365884,2046,368744,1986,371200,2147,367889,2516,372439,2726,363331,2714,361890,3107,359804,2975,48741,927,49289,1123,49343,1255,49563,1034,50449,1188,51459,1030,50094,1055,50422,1200,51392,1091,48674,983,45831,1176,43759,1298,43336,1506,44388,1533,221081,3562,213298,3412,219202,3664,231397,3884,241022,3482,254493,4065,265571,3918,277272,3804,282591,3807,300783,6096,299895,5551,300003,4466,311131,5114,324288,5135,101366,2659,109310,3053,115553,2993,120776,2904,122730,3164,125923,3336,131091,2997,135990,3587,138572,3409,194564,4282,259477,4988,320056,5600,383986,5732,448473,5901
"G560","Wyoming","56","560",506661,1466,513021,1398,518388,1425,522535,1559,527763,1422,531851,1369,532394,1178,532008,1465,531304,1434,525246,1684,511179,1619,504798,1856,498371,1640,492158,1611,4309,347,4689,371,5167,348,5958,468,6142,595,6435,563,6121,605,5540,605,5582,608,5079,573,5242,581,4891,489,4982,493,5129,462,12752,615,12951,613,13268,635,13144,764,12658,665,13033,790,13549,839,14053,786,14164,805,13117,806,12987,584,12359,577,11927,922,11227,686,16096,1369,16697,1203,17470,1199,18096,1320,17627,1335,16179,1273,15819,1241,14656,1292,14453,1252,15188,1258,18796,1353,21857,1527,23412,1525,25857,1694,14879,1088,15445,994,15841,1081,15518,1031,15489,915,15531,1083,15317,1046,15579,1072,15521,1050,22718,1348,28437,1760,34024,1715,41069,1882,48026,1846
"G720","Puerto Rico","72","720",2695914,8899,2631788,8386,2575834,7973,2533581,9872,2495997,9921,2448085,9661,2389446,10023,2283720,9541,2188014,9520,1952451,11646,1693651,12697,1425431,10705,1146311,10144,853387,11780,274200,5941,282162,5678,284860,4935,290999,5256,301519,5947,320087,5491,338939,6609,365010,6294,386676,7052,367906,8119,329651,6952,286388,5775,237762,6415,191107,5918,7554,955,8608,1014,10471,1332,11102,1156,11775,1292,11814,1163,10849,1246,8504,1171,6838,1034,5697,859,5407,989,5066,950,5598,1002,6770,1070,388637,7067,366762,6054,377545,6922,407071,7262,441731,6503,484635,7735,519710,7908,554241,8354,561270,7749,614207,8967,721412,11411,792889,9608,885829,9710,996996,11427,376281,6841,427407,6528,434256,6779,396212,6633,332051,6762,264764,6256,210019,6143,175466,4871,175649,4948,315381,6816,561153,9702,762608,10236,979385,10822,1186049,11094
