GISJOIN,STATE,STATEFP,STATENH,B18AA115,B18AA115M,B18AA125,B18AA125M,B18AA135,B18AA135M,B18AA145,B18AA145M,B18AA155,B18AA155M,B18AA165,B18AA165M,B18AA175,B18AA175M,B18AA185,B18AA185M,B18AA195,B18AA195M,B18AA205,B18AA205M,B18AA215,B18AA215M,B18AA225,B18AA225M,B18AA235,B18AA235M,B18AA245,B18AA245M,B18AB115,B18AB115M,B18AB125,B18AB125M,B18AB135,B18AB135M,B18AB145,B18AB145M,B18AB155,B18AB155M,B18AB165,B18AB165M,B18AB175,B18AB175M,B18AB185,B18AB185M,B18AB195,B18AB195M,B18AB205,B18AB205M,B18AB215,B18AB215M,B18AB225,B18AB225M,B18AB235,B18AB235M,B18AB245,B18AB245M,B18AC115,B18AC115M,B18AC125,B18AC125M,B18AC135,B18AC135M,B18AC145,B18AC145M,B18AC155,B18AC155M,B18AC165,B18AC165M,B18AC175,B18AC175M,B18AC185,B18AC185M,B18AC195,B18AC195M,B18AC205,B18AC205M,B18AC215,B18AC215M,B18AC225,B18AC225M,B18AC235,B18AC235M,B18AC245,B18AC245M,B18AD115,B18AD115M,B18AD125,B18AD125M,B18AD135,B18AD135M,B18AD145,B18AD145M,B18AD155,B18AD155M,B18AD165,B18AD165M,B18AD175,B18AD175M,B18AD185,B18AD185M,B18AD195,B18AD195M,B18AD205,B18AD205M,B18AD215,B18AD215M,B18AD225,B18AD225M,B18AD235,B18AD235M,B18AD245,B18AD245M,B18AE115,B18AE115M,B18AE125,B18AE125M,B18AE135,B18AE135M,B18AE145,B18AE145M,B18AE155,B18AE155M,B18AE165,B18AE165M,B18AE175,B18AE175M,B18AE185,B18AE185M,B18AE195,B18AE195M,B18AE205,B18AE205M,B18AE215,B18AE215M,B18AE225,B18AE225M,B18AE235,B18AE235M,B18AE245,B18AE245M
"G280","Mississippi","28","280",1767875,2282,1768530,1906,1769766,2112,1769693,2111,1768174,1866,1764038,1750,1755471,1788,1751193,2016,1743217,2151,1729353,2016,1701989,2486,1685024,2428,1661873,2638,1644516,1939,1094596,2216,1101849,2270,1106982,2132,1113652,2243,1116457,1738,1121327,2072,1122576,2133,1125834,2304,1125623,1996,1123545,2238,1113414,2617,1101836,2857,1090777,3342,1072849,3691,13775,861,13344,804,13030,654,13056,627,12896,759,13072,736,13258,582,13689,739,14269,721,13951,551,13357,734,12777,859,13181,976,14113,1192,49028,2281,50401,2103,52586,2170,53518,2301,55220,1954,55388,1883,56986,2015,57853,1937,61013,2209,64956,2514,68274,2665,72005,2674,79433,3287,86588,2928,31426,1875,33496,2259,34508,2005,34426,2051,35334,1813,35367,1966,37929,2115,40193,2362,40296,1937,50030,2325,69989,2938,87204,3402,106174,3107,128713,4539
"G290","Missouri","29","290",4957147,3144,4972530,2888,4984653,3185,4991914,3153,4995527,3051,5000875,2896,5004537,3173,5008342,3253,5015904,3046,4978046,4051,4930466,4931,4884165,5123,4831646,6284,4799142,5282,686044,2432,689683,2218,691128,2696,695813,2952,697022,2845,701896,3009,703061,2885,704896,2524,701334,2959,698043,3776,695678,3059,693892,3450,686616,4063,679534,3552,22509,877,22704,1217,22781,962,24269,1150,24951,1124,25641,1129,25933,1136,26952,1077,27084,1366,24274,1291,19904,1073,17559,990,16830,1061,17594,1204,159986,3063,163196,3122,169380,3177,171812,3160,180303,3057,183198,3267,190379,3626,194544,3527,200220,3284,209479,4185,215958,3886,227578,4485,244190,4112,255708,5321,130116,3157,134300,3315,139240,3279,144268,3381,147645,3925,148041,3775,151390,3584,155328,3655,160368,4219,214318,5391,279528,6149,331228,6239,388899,7372,439836,6842
"G300","Montana","30","300",881905,804,887924,875,893032,877,899503,838,904977,877,911907,951,916664,942,925642,1128,930204,1008,932157,1489,938223,1741,943827,1994,946776,1771,949109,2011,4403,464,4145,342,4038,356,4563,395,4757,424,4260,354,4438,406,4630,379,5303,555,5919,648,6236,696,6026,642,6015,580,5058,484,61399,1144,62398,979,64426,963,65110,809,65693,1080,67222,1158,66865,919,67289,1157,66839,1153,65523,1289,65452,1255,63493,1185,63108,1295,62358,1242,12211,814,12439,839,12763,764,12295,850,13495,988,13480,881,13511,859,14736,914,16142,1054,17401,977,19708,1256,21484,1534,23105,1388,24338,1693,22936,1249,23879,1093,24295,1096,24899,1098,25777,1429,26522,1170,28384,1166,29435,1212,32161,1364,40705,1718,48359,1992,57010,1820,66068,2249,76012,2141
"G310","Nebraska","31","310",1600661,2586,1612538,2392,1624312,2762,1637794,2296,1647551,2364,1655708,2307,1663612,2725,1666463,2861,1666871,2543,1641256,2669,1630376,3382,1603239,2656,1570391,3084,1540812,3383,79828,1242,82341,1246,84228,1337,86423,1259,88195,1233,88388,1320,89718,1191,90860,1359,92406,1494,91896,1592,93358,1767,93555,1741,93595,1776,94131,1880,15858,784,16461,855,16408,740,16163,802,16319,741,15739,835,16012,850,17282,866,17673,866,16875,948,17937,1183,18550,1143,19581,1101,20618,1332,76777,2666,76671,2477,76744,2750,73921,2172,75705,2254,77771,2388,79008,2721,81555,2727,87235,2441,97862,2470,109595,3093,119507,3224,133196,3520,143726,3816,39937,1738,39295,1775,39933,1962,41316,1555,41595,1396,43653,1556,45571,1718,48600,1983,50386,2197,75937,2555,100214,3426,124088,4127,149163,4609,179420,4784
"G320","Nevada","32","320",1960913,7186,1970074,5244,1948808,6844,1935379,6910,1929661,6519,1933057,5767,1936453,5484,1935103,5795,1949707,6861,1881048,7006,1799601,7428,1732783,7417,1670302,6480,1586636,5648,214360,2486,218305,2336,224424,1988,229638,2551,235721,2175,243552,2195,253013,2390,261123,2592,271005,2785,282722,2982,284412,2959,290223,3521,295802,3394,298068,3516,29344,1291,30061,1166,29446,951,30155,1128,31393,1361,31927,1164,32426,1484,35845,1365,38026,1495,37715,1550,37850,1697,40745,2239,41434,2099,43836,3033,372685,6531,382019,4877,419113,6691,450354,6816,478926,7165,501600,6315,531498,6230,550279,6719,567236,7502,600315,8235,622119,7827,645567,6656,667564,7803,706872,8236,96094,3712,103745,3913,108275,3505,116058,3954,122935,4229,129036,3832,134335,3846,140499,4035,146408,4503,228481,6269,315256,7097,395499,7231,465898,7883,549200,9925
"G330","New Hampshire","33","330",1241530,1257,1241440,1107,1240404,1240,1239543,1211,1241313,1221,1243594,1092,1244260,1071,1250014,1368,1252128,1387,1246602,1610,1249067,2183,1241594,2540,1234149,2638,1226297,2354,14520,620,15339,783,16011,729,16293,877,17439,946,17483,942,18632,922,20516,952,21546,1100,21045,894,21834,1150,20920,1078,21164,1150,20338,1155,2688,360,2470,374,2588,421,2510,367,2238,354,2085,302,2148,391,2090,304,2036,345,2197,374,1988,301,2070,384,1923,392,1960,358,37781,1454,37578,1315,38339,1286,38645,1210,38865,1189,39435,1193,40618,1089,43112,1154,44133,1373,45548,1390,48396,1687,51709,1748,53936,1839,56382,1935,19392,955,20647,1212,21829,1122,24078,1166,24346,1073,24906,1266,26190,1182,27890,1244,28281,1252,39852,1715,50890,2237,63317,2709,76662,2510,89891,2819
"G340","New Jersey","34","340",6095247,7747,6121023,9254,6108784,9265,6094052,8438,6083940,7433,6075710,9686,6085474,9750,6031747,10067,6018074,9356,5820147,9955,5787873,11074,5528604,12036,5276142,10274,5043686,9029,1180649,4016,1187307,4168,1197753,4186,1201339,4521,1202300,3937,1207221,4790,1207356,3964,1196764,4168,1194882,4496,1189681,4791,1225321,4828,1213265,6398,1201053,5996,1194061,4914,20490,1520,21702,1297,20482,1398,18921,1403,18335,1385,18470,1356,18006,1191,18649,1458,19711,1481,22288,1841,24719,2201,29780,2441,41900,2889,52735,3123,1264548,9139,1255636,9857,1288124,9915,1339619,9532,1376012,9510,1388342,11015,1420264,10243,1403736,10952,1402291,10845,1425691,9897,1578841,11527,1684524,12449,1769328,12355,1896343,12458,192130,4661,208220,5532,217263,5263,220443,5426,223826,4671,225713,5515,229061,4973,230949,5331,243545,5904,427611,7406,617270,9635,792890,12698,978591,12761,1156984,13027
"G350","New Mexico","35","350",1467191,5509,1492641,6555,1511087,5336,1521876,4524,1524911,6557,1530636,6567,1547843,5960,1558886,5209,1565366,5866,1467849,6135,1364638,8553,1250614,8106,1133871,8304,1012573,7467,41082,1180,41634,1440,42196,1441,42515,1155,43738,1304,41957,1254,42187,1066,43006,1312,44120,1041,43476,1280,44792,1471,44894,1437,44709,1527,44773,1758,188613,1484,189785,1740,189953,1566,190350,1606,190528,2190,193295,1910,197191,2033,199896,1672,199845,1903,195166,2292,197712,2492,198140,2279,201346,2257,202073,2432,278563,4899,268388,6207,262852,5359,260247,5012,256887,6113,248984,6472,229325,5859,223138,5075,214859,5711,220228,5572,240760,5635,270227,6527,291908,6936,314235,5930,61687,2904,62839,2339,63618,2396,65097,2494,68053,2988,67797,3116,68282,2554,67508,2907,68264,2647,170302,5226,261464,7215,348588,6966,442934,7503,546592,9467
"G360","New York","36","360",12768805,14493,12808268,14229,12779326,15614,12733518,15643,12704637,16077,12667413,15437,12638791,15933,12514949,16549,12459687,15906,12160045,15340,12215118,15025,11749652,14482,11340944,13466,10959018,10635,3013740,7249,3037255,8175,3042152,7188,3060048,6792,3070392,8048,3073278,7500,3100685,8707,3068099,7383,3065471,8160,3002401,9903,3058846,9147,3011116,11329,2927008,12323,2849704,9597,67766,2443,69500,2245,72740,2289,74572,2415,74793,2990,75751,2606,77130,2661,79644,2869,79512,3225,76535,3492,83734,4228,93384,3470,102927,4119,114023,4432,3010470,17809,3009036,18129,3082406,18852,3177930,19486,3262473,19162,3304575,20079,3391596,19761,3356578,20660,3351392,21092,3354315,18566,3556334,20449,3655214,21283,3728799,22851,3881562,21571,441667,7662,474066,8730,510429,7902,548262,9544,560879,8910,576440,9362,590026,9530,599183,9680,616257,11719,921553,12294,1200713,14299,1485013,17432,1772641,16469,2048059,19251
"G370","North Carolina","37","370",6560948,6624,6659867,6756,6727690,6914,6784901,7434,6839831,7865,6882915,8207,6937466,7269,6994240,7853,7049919,8837,7019443,8230,6865508,8866,6800458,6981,6695587,8580,6630087,8120,2016228,3711,2047092,4708,2068726,3639,2093389,4044,2115338,4527,2137131,4847,2159427,4712,2179622,5653,2200761,5019,2217522,5491,2193147,6227,2192455,6342,2178329,7224,2176727,7577,108960,1630,110171,1915,111733,2128,113798,1869,116143,1783,117479,1811,117998,1808,121352,1559,123952,1903,120272,2281,113719,2168,109600,1885,110873,2406,113572,3275,544210,7090,522648,7322,524296,7598,531778,7805,542630,7629,559933,8321,586477,7578,597109,8120,616968,7720,650621,8420,694190,9080,754572,8919,846286,9081,923834,11142,188390,3998,204471,5356,218935,5064,226539,4745,231391,5596,243370,5721,251196,5443,263301,6193,273276,6210,378369,7124,500458,8915,613129,9469,753265,12054,886184,12566
